Title,Price,Bedrooms,Location,URL,Apartment_Name
Ave,1250.0,1.0,<1hr ago1brHuntington Ave,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-1br-huntington-ave/7885335489.html,Unnamed - <1hr ago1brHuntington Ave
ago2brTonawanda,1380.0,2.0,Tonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-balcony-in-amherst/7885314600.html,Unnamed - Tonawanda
ago1br,1250.0,1.0,,https://buffalo.craigslist.org/apa/d/buffalo-all-utilities-delaware-ave/7885283775.html,Unnamed - 
NY,1645.0,1.0,"224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-electric-car-charging-station/7885276293.html,"Apartment at 224 Niagara St, Buffalo, NY"
Falls,1000.0,3.0,Niagara Falls,https://buffalo.craigslist.org/apa/d/niagara-falls-bedroom-house-for-rent/7877151471.html,Unnamed - Niagara Falls
District,1300.0,1.0,Delaware District,https://buffalo.craigslist.org/apa/d/buffalo-charming-carriage-house-bedroom/7885268490.html,Unnamed - Delaware District
DT!,1199.0,2.0,Delaware Ave District-Close to Medical Campus and DT!,https://buffalo.craigslist.org/apa/d/buffalo-cozy-bed-apartments-available/7880021843.html,Unnamed - Delaware Ave District-Close to Medical Campus and DT!
ago2brTonawanda,1295.0,2.0,Tonawanda,https://buffalo.craigslist.org/apa/d/buffalo-bed-apt-with-amenities-on/7885246556.html,Unnamed - Tonawanda
NY,1283.0,2.0,"224 Niagara St, Buffalo, NY",https://buffalo.craigslist.org/apa/d/buffalo-in-buffalo-ny-2b-1b-community/7885224535.html,"Apartment at 224 Niagara St, Buffalo, NY"
ago2brBuffalo,1050.0,2.0,Buffalo,https://buffalo.craigslist.org/apa/d/buffalo-bedroom-one-bath-near-kenmore/7885228501.html,Unnamed - Buffalo
DT,2025.0,2.0,Elmwood Village..-Close to BNMC and DT,https://buffalo.craigslist.org/apa/d/buffalo-terrific-views-at-the-delaware/7883292106.html,Unnamed - Elmwood Village..-Close to BNMC and DT
