Title,Price,Address,Beds,URL
The Westbrook Apartments,"$975 - $2,075","675 Delaware Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/the-westbrook-apartments-buffalo-ny/sht9py4/
Steeple Bay Estates,"$1,200","119 Arbour Ln, Buffalo, NY 14220",No beds info,https://www.apartments.com/steeple-bay-estates-buffalo-ny/e9mrgeq/
1217 The Delaware,"$1,325 - $2,025","1217 Delaware Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/1217-the-delaware-buffalo-ny/hrfng43/
300 Ellicott St,"$2,400","300 Ellicott St, Buffalo, NY 14203",No beds info,https://www.apartments.com/300-ellicott-st-buffalo-ny/y92rhsr/
Fairmount Apartments,"$948 - $1,078","23 Allen St, Buffalo, NY 14202",No beds info,https://www.apartments.com/fairmount-apartments-buffalo-ny/ppsclfr/
2803 Main St,"$1,195","2803 Main St, Buffalo, NY 14214",No beds info,https://www.apartments.com/2803-main-st-buffalo-ny/wq4d1nl/
Sheldon Apartments,"$950 - $1,199","950 Delaware Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/sheldon-apartments-buffalo-ny/tsq3jn8/
Gates Circle,"$1,025 - $1,295","1290-1310 Delaware Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/gates-circle-buffalo-ny/36qcgve/
The Residence on North Senior Apartments 55+,"$799 - $1,243","245 North St, Buffalo, NY 14201",No beds info,https://www.apartments.com/the-residence-on-north-senior-apartments-55-buffalo-ny/beh2glc/
U-Crest & Belvedere Manor Apartments,"$1,115","1175 George Urban Blvd, Buffalo, NY 14225",No beds info,https://www.apartments.com/u-crest-belvedere-manor-apartments-buffalo-ny/w701ptj/
Delsan Court Townhomes,"$1,095 - $1,495","1-124 Delsan Ct, Buffalo, NY 14216",No beds info,https://www.apartments.com/delsan-court-townhomes-buffalo-ny/dpnyqsl/
Hertel Avenue Townhomes,"$1,150 - $1,475","527 Hertel Ave, Buffalo, NY 14207",No beds info,https://www.apartments.com/hertel-avenue-townhomes-buffalo-ny/w5mrbjh/
AP Lofts,"$1,000 - $1,624","545 Swan St, Buffalo, NY 14204",No beds info,https://www.apartments.com/ap-lofts-buffalo-ny/k0yqcq8/
Orchard Place Senior Apartments,"$1,265 - $1,540","133 Orchard Pl, Lackawanna, NY 14218",No beds info,https://www.apartments.com/orchard-place-senior-apartments-lackawanna-ny/qlcp9xw/
Windwood Place Apartments,"$875 - $1,025","40 Windwood Ct, Cheektowaga, NY 14225",No beds info,https://www.apartments.com/windwood-place-apartments-cheektowaga-ny/trm2dk9/
Furnished Studio-Buffalo - Amherst,"$2,009","125 Inn Keepers Ln, Buffalo, NY 14228",No beds info,https://www.apartments.com/furnished-studio-buffalo-amherst-buffalo-ny/bmsz3zb/
Furnished Studio-Buffalo - Airport,"$2,399","901 Dick Rd, Buffalo, NY 14225",No beds info,https://www.apartments.com/furnished-studio-buffalo-airport-buffalo-ny/y6830pt/
460 Prospect Ave,No price,"460 Prospect Ave, Buffalo, NY 14201",No beds info,https://www.apartments.com/460-prospect-ave-buffalo-ny/h75bb92/
Trinity Tower,No price,"33 Linwood Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/trinity-tower-buffalo-ny/r8wvqm1/
Vintage Flats,No price,"293 Grote St, Buffalo, NY 14207",No beds info,https://www.apartments.com/vintage-flats-buffalo-ny/nc67n2n/
Black Rock Village,No price,"1067-1073 Grant St, Buffalo, NY 14207",No beds info,https://www.apartments.com/black-rock-village-buffalo-ny/ybnw51s/
130 Pearl,No price,"130 Pearl St, Buffalo, NY 14202",No beds info,https://www.apartments.com/130-pearl-buffalo-ny/w9tdh1k/
No title,No price,No address,No beds info,https://www.apartments.com/the-grid-buffalo-ny/px3dlet/
Parksite,No price,"2096-2100 Delaware Ave, Buffalo, NY 14216",No beds info,https://www.apartments.com/parksite-buffalo-ny/ml0m96l/
Seneca One,No price,"1 Seneca Dr, Buffalo, NY 14203",No beds info,https://www.apartments.com/seneca-one-buffalo-ny/kv1ql09/
Mercer Commons,No price,"2825 Main St, Buffalo, NY 14214",No beds info,https://www.apartments.com/mercer-commons-buffalo-ny/2nlk6bc/
Elmwood-Anderson Place Apartments,No price,"570-572 Elmwood Ave, Buffalo, NY 14222",No beds info,https://www.apartments.com/elmwood-anderson-place-apartments-buffalo-ny/y67hxht/
Arbor Meadows,No price,"61 S Fisher Rd, Buffalo, NY 14218",No beds info,https://www.apartments.com/arbor-meadows-buffalo-ny/nstvcbq/
Piano Factory Lofts,No price,"82 Pearl St, Buffalo, NY 14202",No beds info,https://www.apartments.com/piano-factory-lofts-buffalo-ny/wz2pq3l/
Edge Park Apartments,No price,"1016 Amherst St, Buffalo, NY 14216",No beds info,https://www.apartments.com/edge-park-apartments-buffalo-ny/9nplj47/
844 Richmond Ave,No price,"844 Richmond Ave, Buffalo, NY 14222",No beds info,https://www.apartments.com/844-richmond-ave-buffalo-ny/rg6vyl2/
The Roosevelt,No price,"923-925 Main St, Buffalo, NY 14203",No beds info,https://www.apartments.com/the-roosevelt-buffalo-ny/ls6clkf/
South City Apartments,No price,"323 Southside Pky, Buffalo, NY 14220",No beds info,https://www.apartments.com/south-city-apartments-buffalo-ny/zmytygx/
No title,No price,No address,No beds info,https://www.apartments.com/trico-building-apartments-buffalo-ny/k9hb7vb/
Virginia Apartments,No price,"2 N Pearl St, Buffalo, NY 14202",No beds info,https://www.apartments.com/virginia-apartments-buffalo-ny/j8eyj35/
Lin-Nor Apartments,No price,"3 Linwood Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/lin-nor-apartments-buffalo-ny/xxzqy8p/
Amherst Gardens,No price,"86 E Amherst St, Buffalo, NY 14214",No beds info,https://www.apartments.com/amherst-gardens-buffalo-ny/h7wgn60/
Delaware / West Ferry Apartments,No price,"1165 Delaware Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/delaware-west-ferry-apartments-buffalo-ny/nkh73gp/
Lafayette Apartments,No price,"870 Lafayette Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/lafayette-apartments-buffalo-ny/5tqyldq/
Campion Hall,No price,"2136 Main St, Buffalo, NY 14214",No beds info,https://www.apartments.com/campion-hall-buffalo-ny/5h01hxn/
277 Linwood Ave,No price,"277 Linwood Ave, Buffalo, NY 14209",No beds info,https://www.apartments.com/277-linwood-ave-buffalo-ny/ecwk04p/
Parkview Senior Apartments,No price,"2911 William St, Buffalo, NY 14227",No beds info,https://www.apartments.com/parkview-senior-apartments-buffalo-ny/g142cfx/
Bennett Village Apartments,No price,"19-29 Benwood Ave, Buffalo, NY 14214",No beds info,https://www.apartments.com/bennett-village-apartments-buffalo-ny/3qdjt2g/
Pine Harbor Apartments,No price,"10 7th St, Buffalo, NY 14201",No beds info,https://www.apartments.com/pine-harbor-apartments-buffalo-ny/t4v9hx9/
Marina Vista (Income Qualifications Apply),No price,"12 Hertel Ave, Buffalo, NY 14207",No beds info,https://www.apartments.com/marina-vista-income-qualifications-apply-buffalo-ny/rlf3j73/
Manhattan Square,No price,"190 Manhattan Ave, Buffalo, NY 14215",No beds info,https://www.apartments.com/manhattan-square-buffalo-ny/tp29fnc/
Elmwood Square Apartments,No price,"505-515 Elmwood Ave, Buffalo, NY 14222",No beds info,https://www.apartments.com/elmwood-square-apartments-buffalo-ny/rjpem02/
Kenmore Tudors,No price,"771-791 Kenmore Ave, Buffalo, NY 14223",No beds info,https://www.apartments.com/kenmore-tudors-buffalo-ny/qtpxt0y/
Hertel Park Senior Residences,No price,"1625-1643 Hertel Ave, Buffalo, NY 14216",No beds info,https://www.apartments.com/hertel-park-senior-residences-buffalo-ny/kwf1b59/
Jill Joseph Tower Seniors 55+,No price,"66 Custer St, Buffalo, NY 14214",No beds info,https://www.apartments.com/jill-joseph-tower-seniors-55-buffalo-ny/f5zcqgs/
Lincoln Park Duplexes,No price,"965 Highland Ave, Buffalo, NY 14223",No beds info,https://www.apartments.com/lincoln-park-duplexes-buffalo-ny/4krvpql/
Camelot Court Apartments,No price,"9 Camelot Ct, Buffalo, NY 14214",No beds info,https://www.apartments.com/camelot-court-apartments-buffalo-ny/0mg5jf1/
Ellicott Town Center,No price,"233 E Eagle St, Buffalo, NY 14204",No beds info,https://www.apartments.com/ellicott-town-center-buffalo-ny/b2fr6lc/
Ellicott Homes,No price,"424 Swan St, Buffalo, NY 14204",No beds info,https://www.apartments.com/ellicott-homes-buffalo-ny/4q5qdyk/
No title,No price,No address,No beds info,https://www.apartments.com/windsong-place-apartments-buffalo-ny/vrscs8g/
Oxford Village Townhomes,No price,"42 Oxford Ave, Amherst, NY 14226",No beds info,https://www.apartments.com/oxford-village-townhomes-amherst-ny/en8jl0q/
"1357-1357 Millersport Hwy, Buffalo, NY 14221",No price,No address,No beds info,javascript:void(0);
"17 Sunshine Dr, Buffalo, NY 14228",No price,No address,No beds info,javascript:void(0);
"359 S Ogden St, Buffalo, NY 14206",No price,No address,No beds info,javascript:void(0);
"2371 Niagara St, Buffalo, NY 14207",No price,No address,No beds info,javascript:void(0);
"246 Whitney Pl, Buffalo, NY 14201",No price,No address,No beds info,javascript:void(0);
"378 Florida St, Buffalo, NY 14208",No price,No address,No beds info,javascript:void(0);
"93 Baynes St, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"305 Bird Ave, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"184 14th St, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"4865 Main St, Buffalo, NY 14226",No price,No address,No beds info,javascript:void(0);
"237 W Girard Blvd, Buffalo, NY 14217",No price,No address,No beds info,javascript:void(0);
"1540 Abbott Rd, Buffalo, NY 14218",No price,No address,No beds info,javascript:void(0);
"4865 Main St, Buffalo, NY 14226",No price,No address,No beds info,javascript:void(0);
"237 W Girard Blvd, Buffalo, NY 14217",No price,No address,No beds info,javascript:void(0);
No title,No price,No address,No beds info,https://www.apartments.com/park-lane-villas-north-buffalo-ny/rm678z3/
"1560 Delaware Ave, Buffalo, NY 14209",No price,No address,No beds info,javascript:void(0);
"305 Bird Ave, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"1540 Abbott Rd, Buffalo, NY 14218",No price,No address,No beds info,javascript:void(0);
"2 Niagara Fls Blvd, Buffalo, NY 14214",No price,No address,No beds info,javascript:void(0);
"2668 Elmwood Ave, Buffalo, NY 14217",No price,No address,No beds info,javascript:void(0);
No title,No price,No address,No beds info,https://www.apartments.com/the-police-apartments-buffalo-ny/4z0sx8h/
"4250 E Allen St, Buffalo, NY 14219",No price,No address,No beds info,javascript:void(0);
"140 Commonwealth Ave, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"871 Delaware Ave, Buffalo, NY 14209",No price,No address,No beds info,javascript:void(0);
"66 Woodside Ave, Buffalo, NY 14220",No price,No address,No beds info,javascript:void(0);
"51 Audet Dr, Buffalo, NY 14227",No price,No address,No beds info,javascript:void(0);
"95 19th St, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"1431 Hertel Ave Unit 1, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"367 Connecticut St, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"368 Cumberland Ave, Buffalo, NY 14220",No price,No address,No beds info,javascript:void(0);
"869 Delaware Ave, Buffalo, NY 14209",No price,No address,No beds info,javascript:void(0);
"178 Ridgewood Rd, Buffalo, NY 14220",No price,No address,No beds info,javascript:void(0);
"244 Virginia St, Buffalo, NY 14201",No price,No address,No beds info,javascript:void(0);
"244 Virginia St, Buffalo, NY 14201",No price,No address,No beds info,javascript:void(0);
"171 Richmond Ave, Buffalo, NY 14222",No price,No address,No beds info,javascript:void(0);
"10 Bristol Dr, Buffalo, NY 14228",No price,No address,No beds info,javascript:void(0);
"249 Tacoma Ave, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"20 South St, Buffalo, NY 14204",No price,No address,No beds info,javascript:void(0);
"114 Commonwealth Ave, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"179 Florida St, Buffalo, NY 14208",No price,No address,No beds info,javascript:void(0);
"383 Washington Ave, Buffalo, NY 14217",No price,No address,No beds info,javascript:void(0);
"65 Avery Ave Unit 1, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"638 Hertel Ave, Buffalo, NY 14207",No price,No address,No beds info,javascript:void(0);
"238 Schiller St, Buffalo, NY 14206",No price,No address,No beds info,javascript:void(0);
"137 Lockwood Ave, Buffalo, NY 14220",No price,No address,No beds info,javascript:void(0);
"292 Virginia St, Buffalo, NY 14201",No price,No address,No beds info,javascript:void(0);
"2660 Elmwood Ave, Tonawanda Town, NY 14217",No price,No address,No beds info,javascript:void(0);
"501 Forest Ave Unit 3, Buffalo, NY 14222",No price,No address,No beds info,javascript:void(0);
"402 W Ferry St Unit 2, Buffalo, NY 14213",No price,No address,No beds info,javascript:void(0);
"146 Wanda Ave, Buffalo, NY 14211",No price,No address,No beds info,javascript:void(0);
"4266 Greenfield Pkwy Unit 4266 Greenfield Duplex, Buffalo, NY 14219",No price,No address,No beds info,javascript:void(0);
"49 Crestwood Ave Unit Lower, Buffalo, NY 14216",No price,No address,No beds info,javascript:void(0);
"510 Bird Ave Unit 4, Buffalo, NY 14222",No price,No address,No beds info,javascript:void(0);
"50 Ideal St, Buffalo, NY 14206",No price,No address,No beds info,javascript:void(0);
"110 Bidwell Pkwy Unit 3, Buffalo, NY 14222",No price,No address,No beds info,javascript:void(0);
"112 Bidwell Pkwy Unit 2, Buffalo, NY 14222",No price,No address,No beds info,javascript:void(0);
"236 Crabapple Ln Unit Right, Buffalo, NY 14227",No price,No address,No beds info,javascript:void(0);
"109 Plymouth Ave Unit 2, Buffalo, NY 14201",No price,No address,No beds info,javascript:void(0);
"114 Woodside Ave Unit UPPER APARTMENT, Buffalo, NY 14220",No price,No address,No beds info,javascript:void(0);
"586 Martin Rd Unit upper, Buffalo, NY 14218",No price,No address,No beds info,javascript:void(0);
