Source,Title,Address,URL,Price,Beds,price_min,price_max,beds_min,beds_max
apartments.com,945 Kenmore Avenue,"945 Kenmore Ave, Kenmore, NY 14223",https://www.apartments.com/945-kenmore-avenue-kenmore-ny/03xzzp1/,Call for Rent,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,The Granite Works,"846 Main St, Buffalo, NY 14202",https://www.apartments.com/the-granite-works-buffalo-ny/zdmgmsx/,"$1,865 - $2,075",1-2 Beds,1865.0,2075.0,1.0,2.0
apartments.com,300 Ellicott St,"300 Ellicott St, Buffalo, NY 14203",https://www.apartments.com/300-ellicott-st-buffalo-ny/y92rhsr/,"$2,400",Studio,2400.0,2400.0,0.0,0.0
apartments.com,Berkley Manor Apartments,"872 Englewood Ave, Buffalo, NY 14223",https://www.apartments.com/berkley-manor-apartments-buffalo-ny/7b23qjz/,Call for Rent,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,The Dorian,"1485 Niagara St, Buffalo, NY 14213",https://www.apartments.com/the-dorian-buffalo-ny/8qsbm43/,Call for Rent,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,448 Elmwood Ave,"448 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/448-elmwood-ave-buffalo-ny/8zwmem2/,"$1,900 - $2,075",2 Beds,1900.0,2075.0,2.0,2.0
apartments.com,Copley Court Apartments,"1335-1357 Millersport Hwy, Buffalo, NY 14221",https://www.apartments.com/copley-court-apartments-buffalo-ny/vq3nhqf/,"$1,375 - $1,425",1-2 Beds,1375.0,1425.0,1.0,2.0
apartments.com,Sidway Apartments & Lofts,"775-779 Main St, Buffalo, NY 14203",https://www.apartments.com/sidway-apartments-lofts-buffalo-ny/2kfpye8/,"$1,600 - $1,850",1-2 Beds,1600.0,1850.0,1.0,2.0
apartments.com,1040 Delaware,"1040 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/1040-delaware-buffalo-ny/78zlldy/,"$1,325 - $1,475",1 Bed,1325.0,1475.0,1.0,1.0
apartments.com,Jersey Apartments,"416-422 Jersey St, Buffalo, NY 14213",https://www.apartments.com/jersey-apartments-buffalo-ny/k9gd67b/,"$1,100 - $1,200",1 Bed,1100.0,1200.0,1.0,1.0
apartments.com,Windsor Apartments,"703 W Ferry St, Buffalo, NY 14222",https://www.apartments.com/windsor-apartments-buffalo-ny/8rms8e1/,"$1,460 - $1,825",2 Beds,1460.0,1825.0,2.0,2.0
apartments.com,Days Park Commons,"68-74 Days Park, Buffalo, NY 14201",https://www.apartments.com/days-park-commons-buffalo-ny/fxqcd9r/,"$1,250 - $1,600",1-2 Beds,1250.0,1600.0,1.0,2.0
apartments.com,273 Richmond Ave,"273 Richmond Ave, Buffalo, NY 14222",https://www.apartments.com/273-richmond-ave-buffalo-ny/rfxkk11/,"$1,399 - $1,699",1-2 Beds,1399.0,1699.0,1.0,2.0
apartments.com,St John Tower Apartments,"865 Michigan Ave, Buffalo, NY 14203",https://www.apartments.com/st-john-tower-apartments-buffalo-ny/fckzs1s/,"$1,495",1 Bed,1495.0,1495.0,1.0,1.0
apartments.com,1217 The Delaware,"1217 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/1217-the-delaware-buffalo-ny/hrfng43/,"$1,325 - $2,025",1-2 Beds,1325.0,2025.0,1.0,2.0
apartments.com,Cathedral Place,"298 Main St, Buffalo, NY 14202",https://www.apartments.com/cathedral-place-buffalo-ny/t69clm8/,"$1,850 - $5,000",1-2 Beds,1850.0,5000.0,1.0,2.0
apartments.com,Twain Tower,"468 Delaware Ave, Buffalo, NY 14202",https://www.apartments.com/twain-tower-buffalo-ny/z5x92sz/,"$1,300 - $1,525",1 Bed,1300.0,1525.0,1.0,1.0
apartments.com,The Ambassador,"175 North St, Buffalo, NY 14201",https://www.apartments.com/the-ambassador-buffalo-ny/5rqfhcn/,"$1,100 - $1,395",Studio - 2 Beds,1100.0,1395.0,0.0,2.0
apartments.com,Ansonia Center,"712-716 Main St, Buffalo, NY 14202",https://www.apartments.com/ansonia-center-buffalo-ny/fmb5w3s/,"$1,300",1 Bed,1300.0,1300.0,1.0,1.0
apartments.com,Steeple Bay Estates,"119 Arbour Ln, Buffalo, NY 14220",https://www.apartments.com/steeple-bay-estates-buffalo-ny/e9mrgeq/,"$1,200",2 Beds,1200.0,1200.0,2.0,2.0
apartments.com,The Westbrook Apartments,"675 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/the-westbrook-apartments-buffalo-ny/sht9py4/,"$975 - $2,075",Studio - 3 Beds,975.0,2075.0,0.0,3.0
apartments.com,Sheldon Apartments,"950 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/sheldon-apartments-buffalo-ny/tsq3jn8/,"$950 - $1,199",Studio - 1 Bed,950.0,1199.0,0.0,1.0
apartments.com,2803 Main St,"2803 Main St, Buffalo, NY 14214",https://www.apartments.com/2803-main-st-buffalo-ny/wq4d1nl/,"$1,195",2 Beds,1195.0,1195.0,2.0,2.0
apartments.com,Fairmount Apartments,"23 Allen St, Buffalo, NY 14202",https://www.apartments.com/fairmount-apartments-buffalo-ny/ppsclfr/,"$948 - $1,078",Studio - 1 Bed,948.0,1078.0,0.0,1.0
apartments.com,The Residence on North Senior Apartments 55+,"245 North St, Buffalo, NY 14201",https://www.apartments.com/the-residence-on-north-senior-apartments-55-buffalo-ny/beh2glc/,"$799 - $1,243",Studio - 2 Beds,799.0,1243.0,0.0,2.0
apartments.com,Gates Circle,"1290-1310 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/gates-circle-buffalo-ny/36qcgve/,"$1,025 - $1,295",Studio - 2 Beds,1025.0,1295.0,0.0,2.0
apartments.com,U-Crest & Belvedere Manor Apartments,"1175 George Urban Blvd, Buffalo, NY 14225",https://www.apartments.com/u-crest-belvedere-manor-apartments-buffalo-ny/w701ptj/,"$1,115 - $1,120",2 Beds,1115.0,1120.0,2.0,2.0
apartments.com,Delsan Court Townhomes,"1-124 Delsan Ct, Buffalo, NY 14216",https://www.apartments.com/delsan-court-townhomes-buffalo-ny/dpnyqsl/,"$1,095 - $1,495",1-3 Beds,1095.0,1495.0,1.0,3.0
apartments.com,Hertel Avenue Townhomes,"527 Hertel Ave, Buffalo, NY 14207",https://www.apartments.com/hertel-avenue-townhomes-buffalo-ny/w5mrbjh/,"$1,150 - $1,475",1-3 Beds,1150.0,1475.0,1.0,3.0
apartments.com,AP Lofts,"545 Swan St, Buffalo, NY 14204",https://www.apartments.com/ap-lofts-buffalo-ny/k0yqcq8/,"$1,000 - $2,800",1-2 Beds,1000.0,2800.0,1.0,2.0
apartments.com,Orchard Place Senior Apartments,"133 Orchard Pl, Lackawanna, NY 14218",https://www.apartments.com/orchard-place-senior-apartments-lackawanna-ny/qlcp9xw/,"$1,265 - $1,540",1-2 Beds,1265.0,1540.0,1.0,2.0
apartments.com,Windwood Place Apartments,"40 Windwood Ct, Cheektowaga, NY 14225",https://www.apartments.com/windwood-place-apartments-cheektowaga-ny/trm2dk9/,"$875 - $1,025",1-3 Beds,875.0,1025.0,1.0,3.0
apartments.com,453 Abbott Rd Unit Upper,"453 Abbott Rd Unit Upper, Buffalo, NY 14220",https://www.apartments.com/453-abbott-rd-buffalo-ny/m9xyk3j/,"$1,400","3 Beds, 1 Bath, 1,100 sq ft",1400.0,1400.0,1.0,1.0
apartments.com,Furnished Studio-Buffalo - Amherst,"125 Inn Keepers Ln, Buffalo, NY 14228",https://www.apartments.com/furnished-studio-buffalo-amherst-buffalo-ny/bmsz3zb/,"$2,009","Studio, 1 Bath, 300 sq ft",2009.0,2009.0,1.0,1.0
apartments.com,No title,No address,No link,No price,No beds info,1375.0,1375.0,1.0,1.0
apartments.com,460 Prospect Ave,"460 Prospect Ave, Buffalo, NY 14201",https://www.apartments.com/460-prospect-ave-buffalo-ny/h75bb92/,No price,3 Beds,1375.0,1375.0,3.0,3.0
apartments.com,Trinity Tower,"33 Linwood Ave, Buffalo, NY 14209",https://www.apartments.com/trinity-tower-buffalo-ny/r8wvqm1/,No price,Studio - 2 Beds,1375.0,1375.0,0.0,2.0
apartments.com,Vintage Flats,"293 Grote St, Buffalo, NY 14207",https://www.apartments.com/vintage-flats-buffalo-ny/nc67n2n/,No price,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,Black Rock Village,"1067-1073 Grant St, Buffalo, NY 14207",https://www.apartments.com/black-rock-village-buffalo-ny/ybnw51s/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Bellamy Commons,"1490 Jefferson Ave, Buffalo, NY 14208",https://www.apartments.com/bellamy-commons-buffalo-ny/70t58qx/,No price,Studio,1375.0,1375.0,0.0,0.0
apartments.com,True Bethel Townhomes,"858 E Ferry St, Buffalo, NY 14211",https://www.apartments.com/true-bethel-townhomes-buffalo-ny/dke4k3j/,No price,2-4 Beds,1460.0,1460.0,2.0,4.0
apartments.com,True Bethel Estates,"907 E Ferry St, Buffalo, NY 14211",https://www.apartments.com/true-bethel-estates-buffalo-ny/hj1x1g3/,No price,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,Ellicott Place,"1033 Ellicott St, Buffalo, NY 14209",https://www.apartments.com/ellicott-place-buffalo-ny/6sm6fbr/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,130 Pearl,"130 Pearl St, Buffalo, NY 14202",https://www.apartments.com/130-pearl-buffalo-ny/w9tdh1k/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Julianna Apartments,"505 Abbott Rd, Buffalo, NY 14220",https://www.apartments.com/julianna-apartments-buffalo-ny/bgchflb/,No price,Studio - 1 Bed,1375.0,1375.0,0.0,1.0
apartments.com,No title,No address,No link,No price,No beds info,1375.0,1375.0,1.0,1.0
apartments.com,Parksite,"2096-2100 Delaware Ave, Buffalo, NY 14216",https://www.apartments.com/parksite-buffalo-ny/ml0m96l/,No price,2 Beds,1460.0,1460.0,2.0,2.0
apartments.com,Elmwood-Anderson Place Apartments,"570-572 Elmwood Ave, Buffalo, NY 14222",https://www.apartments.com/elmwood-anderson-place-apartments-buffalo-ny/y67hxht/,No price,2-3 Beds,1460.0,1460.0,2.0,3.0
apartments.com,Seneca One,"1 Seneca Dr, Buffalo, NY 14203",https://www.apartments.com/seneca-one-buffalo-ny/kv1ql09/,No price,Studio - 3 Beds,1375.0,1375.0,0.0,3.0
apartments.com,Mercer Commons,"2825 Main St, Buffalo, NY 14214",https://www.apartments.com/mercer-commons-buffalo-ny/2nlk6bc/,No price,Studio - 2 Beds,1375.0,1375.0,0.0,2.0
apartments.com,Arbor Meadows,"61 S Fisher Rd, Buffalo, NY 14218",https://www.apartments.com/arbor-meadows-buffalo-ny/nstvcbq/,No price,2 Beds,1460.0,1460.0,2.0,2.0
apartments.com,Piano Factory Lofts,"82 Pearl St, Buffalo, NY 14202",https://www.apartments.com/piano-factory-lofts-buffalo-ny/wz2pq3l/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,844 Richmond Ave,"844 Richmond Ave, Buffalo, NY 14222",https://www.apartments.com/844-richmond-ave-buffalo-ny/rg6vyl2/,No price,2 Beds,1460.0,1460.0,2.0,2.0
apartments.com,Edge Park Apartments,"1016 Amherst St, Buffalo, NY 14216",https://www.apartments.com/edge-park-apartments-buffalo-ny/9nplj47/,No price,Studio - 2 Beds,1375.0,1375.0,0.0,2.0
apartments.com,The Roosevelt,"923-925 Main St, Buffalo, NY 14203",https://www.apartments.com/the-roosevelt-buffalo-ny/ls6clkf/,No price,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,Amherst Gardens,"86 E Amherst St, Buffalo, NY 14214",https://www.apartments.com/amherst-gardens-buffalo-ny/h7wgn60/,No price,2 Beds,1460.0,1460.0,2.0,2.0
apartments.com,South City Apartments,"323 Southside Pky, Buffalo, NY 14220",https://www.apartments.com/south-city-apartments-buffalo-ny/zmytygx/,No price,2 Beds,1460.0,1460.0,2.0,2.0
apartments.com,Lin-Nor Apartments,"3 Linwood Ave, Buffalo, NY 14209",https://www.apartments.com/lin-nor-apartments-buffalo-ny/xxzqy8p/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Delaware / West Ferry Apartments,"1165 Delaware Ave, Buffalo, NY 14209",https://www.apartments.com/delaware-west-ferry-apartments-buffalo-ny/nkh73gp/,No price,1 Bed,1220.0,1220.0,1.0,1.0
apartments.com,Virginia Apartments,"2 N Pearl St, Buffalo, NY 14202",https://www.apartments.com/virginia-apartments-buffalo-ny/j8eyj35/,No price,Studio - 1 Bed,1375.0,1375.0,0.0,1.0
apartments.com,277 Linwood Ave,"277 Linwood Ave, Buffalo, NY 14209",https://www.apartments.com/277-linwood-ave-buffalo-ny/ecwk04p/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Lafayette Apartments,"870 Lafayette Ave, Buffalo, NY 14209",https://www.apartments.com/lafayette-apartments-buffalo-ny/5tqyldq/,No price,Studio - 1 Bed,1375.0,1375.0,0.0,1.0
apartments.com,Campion Hall,"2136 Main St, Buffalo, NY 14214",https://www.apartments.com/campion-hall-buffalo-ny/5h01hxn/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Bennett Village Apartments,"19-29 Benwood Ave, Buffalo, NY 14214",https://www.apartments.com/bennett-village-apartments-buffalo-ny/3qdjt2g/,No price,1-2 Beds,1220.0,1220.0,1.0,2.0
apartments.com,Parkview Senior Apartments,"2911 William St, Buffalo, NY 14227",https://www.apartments.com/parkview-senior-apartments-buffalo-ny/g142cfx/,No price,1 Bed,1220.0,1220.0,1.0,1.0
